,mp_team0,fg_team0,fga_team0,fg%_team0,3p_team0,3pa_team0,3p%_team0,ft_team0,fta_team0,ft%_team0,orb_team0,drb_team0,trb_team0,ast_team0,stl_team0,blk_team0,tov_team0,pf_team0,pts_team0,+/-_team0,mp_team0,ts%_team0,efg%_team0,3par_team0,ftr_team0,orb%_team0,drb%_team0,trb%_team0,ast%_team0,stl%_team0,blk%_team0,tov%_team0,usg%_team0,ortg_team0,drtg_team0,bpm_team0,team0,mp_team1,fg_team1,fga_team1,fg%_team1,3p_team1,3pa_team1,3p%_team1,ft_team1,fta_team1,ft%_team1,orb_team1,drb_team1,trb_team1,ast_team1,stl_team1,blk_team1,tov_team1,pf_team1,pts_team1,+/-_team1,mp_team1,ts%_team1,efg%_team1,3par_team1,ftr_team1,orb%_team1,drb%_team1,trb%_team1,ast%_team1,stl%_team1,blk%_team1,tov%_team1,usg%_team1,ortg_team1,drtg_team1,bpm_team1,team1,winner,season,date
Team Totals,240.0,38.0,72.0,0.528,16.0,37.0,0.432,18.0,21.0,0.857,4.0,33.0,37.0,27.0,7.0,2.0,18.0,16.0,110.0,,240.0,0.677,0.639,0.514,0.292,12.9,86.8,53.6,71.1,7.5,4.4,18.1,100.0,117.3,114.1,,POR,240.0,40.0,84.0,0.476,14.0,39.0,0.359,13.0,15.0,0.867,5.0,27.0,32.0,28.0,11.0,2.0,10.0,18.0,107.0,,240.0,0.591,0.56,0.464,0.179,13.2,87.1,46.4,70.0,11.7,5.7,9.9,100.0,114.1,117.3,,MIA,POR,2023,2022-11-07
Team Totals,240.0,41.0,78.0,0.526,8.0,24.0,0.333,15.0,19.0,0.789,5.0,38.0,43.0,26.0,5.0,2.0,6.0,20.0,105.0,,240.0,0.608,0.577,0.308,0.244,15.6,86.4,56.6,63.4,5.7,5.6,6.5,100.0,119.8,102.7,,CLE,240.0,29.0,74.0,0.392,13.0,38.0,0.342,19.0,26.0,0.731,6.0,27.0,33.0,17.0,2.0,3.0,12.0,15.0,90.0,,240.0,0.527,0.48,0.514,0.351,13.6,84.4,43.4,58.6,2.3,5.6,12.3,100.0,102.7,119.8,,DAL,CLE,2023,2022-12-14
Team Totals,240.0,37.0,87.0,0.425,7.0,33.0,0.212,32.0,35.0,0.914,10.0,36.0,46.0,16.0,6.0,3.0,15.0,17.0,113.0,,240.0,0.552,0.466,0.379,0.402,21.3,67.9,46.0,43.2,5.7,4.8,12.8,100.0,107.1,119.4,,LAL,240.0,47.0,106.0,0.443,12.0,43.0,0.279,20.0,24.0,0.833,17.0,37.0,54.0,25.0,10.0,5.0,11.0,22.0,126.0,,240.0,0.54,0.5,0.406,0.226,32.1,78.7,54.0,53.2,9.5,9.3,8.6,100.0,119.4,107.1,,TOR,TOR,2023,2022-12-07
Team Totals,240.0,37.0,85.0,0.435,8.0,19.0,0.421,17.0,23.0,0.739,11.0,31.0,42.0,23.0,7.0,4.0,13.0,16.0,99.0,,240.0,0.52,0.482,0.224,0.271,22.4,72.1,45.7,62.2,7.4,5.9,12.0,100.0,104.8,113.3,,MIN,240.0,41.0,89.0,0.461,8.0,21.0,0.381,17.0,19.0,0.895,12.0,38.0,50.0,22.0,8.0,11.0,11.0,18.0,107.0,,240.0,0.55,0.506,0.236,0.213,27.9,77.6,54.3,53.7,8.5,16.7,10.2,100.0,113.3,104.8,,SAS,SAS,2018,2017-10-18
Team Totals,240.0,42.0,79.0,0.532,14.0,35.0,0.4,20.0,26.0,0.769,6.0,38.0,44.0,30.0,7.0,3.0,17.0,21.0,118.0,,240.0,0.652,0.62,0.443,0.329,17.6,76.0,52.4,71.4,7.1,6.5,15.8,100.0,119.8,109.7,,MIN,240.0,39.0,90.0,0.433,13.0,44.0,0.295,17.0,24.0,0.708,12.0,28.0,40.0,22.0,9.0,0.0,11.0,20.0,108.0,,240.0,0.537,0.506,0.489,0.267,24.0,82.4,47.6,56.4,9.1,0.0,9.9,100.0,109.7,119.8,,UTA,MIN,2023,2022-12-09
Team Totals,265.0,46.0,100.0,0.46,15.0,39.0,0.385,25.0,32.0,0.781,11.0,32.0,43.0,23.0,9.0,6.0,13.0,29.0,132.0,,265.0,0.579,0.535,0.39,0.32,23.4,78.0,48.9,50.0,8.1,9.0,10.2,100.0,118.7,124.1,,UTA,265.0,51.0,93.0,0.548,11.0,26.0,0.423,25.0,35.0,0.714,9.0,36.0,45.0,29.0,8.0,9.0,13.0,27.0,138.0,,265.0,0.637,0.608,0.28,0.376,22.0,76.6,51.1,56.9,7.2,14.8,10.7,100.0,124.1,118.7,,NOP,NOP,2020,2020-01-16
Team Totals,240.0,40.0,96.0,0.417,11.0,36.0,0.306,17.0,23.0,0.739,12.0,32.0,44.0,28.0,7.0,5.0,17.0,21.0,108.0,,240.0,0.509,0.474,0.375,0.24,22.6,65.3,43.1,70.0,6.5,9.1,13.8,100.0,100.3,122.6,,POR,240.0,47.0,100.0,0.47,17.0,45.0,0.378,21.0,26.0,0.808,17.0,41.0,58.0,24.0,9.0,10.0,16.0,21.0,132.0,,240.0,0.592,0.555,0.45,0.26,34.7,77.4,56.9,51.1,8.4,16.7,12.6,100.0,122.6,100.3,,HOU,HOU,2020,2019-11-18
Team Totals,240.0,34.0,80.0,0.425,8.0,28.0,0.286,20.0,22.0,0.909,8.0,33.0,41.0,17.0,10.0,7.0,19.0,22.0,96.0,,240.0,0.535,0.475,0.35,0.275,17.8,89.2,50.0,50.0,10.0,16.7,17.5,100.0,95.9,115.9,,PHI,240.0,42.0,80.0,0.525,15.0,38.0,0.395,17.0,24.0,0.708,4.0,37.0,41.0,32.0,7.0,5.0,16.0,21.0,116.0,,240.0,0.64,0.619,0.475,0.3,10.8,82.2,50.0,76.2,7.0,9.6,15.0,100.0,115.9,95.9,,GSW,GSW,2022,2021-11-24
Team Totals,240.0,48.0,91.0,0.527,20.0,41.0,0.488,13.0,21.0,0.619,12.0,37.0,49.0,39.0,11.0,4.0,12.0,28.0,129.0,,240.0,0.643,0.637,0.451,0.231,30.8,84.1,59.0,81.3,11.4,9.8,10.7,100.0,133.7,108.9,,DET,240.0,34.0,77.0,0.442,12.0,36.0,0.333,25.0,30.0,0.833,7.0,27.0,34.0,17.0,6.0,5.0,14.0,20.0,105.0,,240.0,0.582,0.519,0.468,0.39,15.9,69.2,41.0,50.0,6.2,10.0,13.4,100.0,108.9,133.7,,TOR,DET,2021,2021-03-03
Team Totals,240.0,41.0,102.0,0.402,10.0,33.0,0.303,11.0,17.0,0.647,16.0,30.0,46.0,23.0,9.0,11.0,10.0,26.0,103.0,,240.0,0.47,0.451,0.324,0.167,27.6,65.2,44.2,56.1,9.0,18.3,8.4,100.0,102.5,111.5,,OKC,240.0,39.0,93.0,0.419,9.0,33.0,0.273,25.0,33.0,0.758,16.0,42.0,58.0,20.0,6.0,9.0,14.0,19.0,112.0,,240.0,0.521,0.468,0.355,0.355,34.8,72.4,55.8,51.3,6.0,13.0,11.5,100.0,111.5,102.5,,DET,DET,2023,2022-11-07
